abdomen_x,abdomen_y,abdomen_z,neck_x,neck_y,neck_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow,right_hip_x,right_hip_y,right_hip_z,right_knee,right_ankle_x,right_ankle_y,right_ankle_z,left_hip_x,left_hip_y,left_hip_z,left_knee,left_ankle_x,left_ankle_y,left_ankle_z
0.080522746,0.1915273,0.07317509,0.005500447,-0.65091735,-0.044366144,-0.32994086,-0.15394996,0.26888928,-1.841837,0.16463229,0.40299976,-0.05034125,-1.8423597,0.26178977,0.29515025,0.09670139,0.8248357,0.051132377,0.6681275,-0.09394753,0.12749118,-0.60958797,-0.09694479,0.42859736,-0.011193697,0.10386907,-0.010714237
0.080522746,0.1915273,0.07317509,0.005500447,-0.65091735,-0.044366144,-0.32994086,-0.15394996,0.26888928,-1.841837,0.16463229,0.40299976,-0.05034125,-1.8423597,0.26178977,0.29515025,0.09670139,0.8248357,0.051132377,0.6681275,-0.09394753,0.12749118,-0.60958797,-0.09694479,0.42859736,-0.011193697,0.10386907,-0.010714237
0.026500544,0.18997815,0.055887587,0.009991881,-0.6180823,-0.045056514,-0.3240225,-0.04668874,0.25874168,-1.6974074,0.1679063,0.3381828,-0.08875697,-1.8572531,0.166925,0.16281332,0.0008190419,1.220715,0.0730467,0.67461365,-0.15988036,0.04079355,-0.5259329,-0.019433426,0.46258712,-0.008256792,0.08389448,-0.11315814
0.026500544,0.18997815,0.055887587,0.009991881,-0.6180823,-0.045056514,-0.3240225,-0.04668874,0.25874168,-1.6974074,0.1679063,0.3381828,-0.08875697,-1.8572531,0.166925,0.16281332,0.0008190419,1.220715,0.0730467,0.67461365,-0.15988036,0.04079355,-0.5259329,-0.019433426,0.46258712,-0.008256792,0.08389448,-0.11315814
-0.012314404,0.18200208,0.022648964,0.022354987,-0.5497321,-0.030154074,-0.30024278,0.071398884,0.23380172,-1.540441,0.18519367,0.25054458,-0.152973,-1.8966733,0.045435995,0.010864439,-0.102512546,1.5787523,0.08363161,0.61860806,-0.21694972,-0.021662321,-0.4795376,-0.0005898329,0.6617409,-0.019987702,-0.09780012,-0.13304338
-0.012314404,0.18200208,0.022648964,0.022354987,-0.5497321,-0.030154074,-0.30024278,0.071398884,0.23380172,-1.540441,0.18519367,0.25054458,-0.152973,-1.8966733,0.045435995,0.010864439,-0.102512546,1.5787523,0.08363161,0.61860806,-0.21694972,-0.021662321,-0.4795376,-0.0005898329,0.6617409,-0.019987702,-0.09780012,-0.13304338
-0.081679024,0.25118026,-0.010479246,0.025766503,-0.6109108,-0.027269816,-0.2701661,0.110688575,0.14845194,-1.442176,0.22475089,-0.011281215,-0.21196125,-1.9188153,-0.12012529,-0.20822386,-0.16711767,1.8550531,0.064780235,0.5743392,-0.16032037,-0.11154511,-0.41528845,-0.028391782,0.77797824,-0.017599499,-0.24086025,-0.049498968
-0.081679024,0.25118026,-0.010479246,0.025766503,-0.6109108,-0.027269816,-0.2701661,0.110688575,0.14845194,-1.442176,0.22475089,-0.011281215,-0.21196125,-1.9188153,-0.12012529,-0.20822386,-0.16711767,1.8550531,0.064780235,0.5743392,-0.16032037,-0.11154511,-0.41528845,-0.028391782,0.77797824,-0.017599499,-0.24086025,-0.049498968
-0.10547561,0.22011285,0.06789029,0.010095716,-0.6425507,-0.026662147,-0.24250388,0.2216626,0.04377998,-1.4314612,0.2675858,-0.21169697,-0.2650752,-1.9581146,-0.12773935,-0.5445033,-0.084274136,2.0218532,0.044554904,0.4397756,-0.1203005,-0.11777462,-0.3437523,0.01614318,0.7759568,-0.012898008,-0.32428893,0.011821853
-0.10547561,0.22011285,0.06789029,0.010095716,-0.6425507,-0.026662147,-0.24250388,0.2216626,0.04377998,-1.4314612,0.2675858,-0.21169697,-0.2650752,-1.9581146,-0.12773935,-0.5445033,-0.084274136,2.0218532,0.044554904,0.4397756,-0.1203005,-0.11777462,-0.3437523,0.01614318,0.7759568,-0.012898008,-0.32428893,0.011821853
