pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,torso_lin_vel_x,torso_lin_vel_y,torso_lin_vel_z,head_lin_vel_x,head_lin_vel_y,head_lin_vel_z,right_upper_arm_lin_vel_x,right_upper_arm_lin_vel_y,right_upper_arm_lin_vel_z,right_lower_arm_lin_vel_x,right_lower_arm_lin_vel_y,right_lower_arm_lin_vel_z,right_hand_lin_vel_x,right_hand_lin_vel_y,right_hand_lin_vel_z,left_upper_arm_lin_vel_x,left_upper_arm_lin_vel_y,left_upper_arm_lin_vel_z,left_lower_arm_lin_vel_x,left_lower_arm_lin_vel_y,left_lower_arm_lin_vel_z,left_hand_lin_vel_x,left_hand_lin_vel_y,left_hand_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
3.3772185,-0.07580572,0.35311225,3.4855053,-0.12879927,0.3447979,3.5227354,-0.25139245,0.33953956,3.2216654,-0.22415325,0.3242656,2.4684138,0.026643656,0.6875077,2.1018991,-0.6535783,0.22879153,3.832607,-0.2239015,0.35899767,4.7774796,-0.19031818,0.32863796,4.1764,-0.6080941,1.469029,3.4415057,-0.07124993,0.32628548,5.193544,0.07636515,1.2430121,5.860765,-0.17755286,-1.1077566,3.3129313,-0.08036151,0.37993896,1.1980239,-0.087987356,0.17148596,0.455823,-0.05846669,0.5647581
3.4573069,-0.095224306,0.50345,3.5668654,-0.11576036,0.4946776,3.5667048,-0.25226504,0.49932128,3.237416,-0.21772851,0.4767312,2.5749793,0.06381289,0.8252602,2.2281127,-0.5540404,0.47288695,3.89765,-0.22894713,0.5202102,4.6621647,-0.22328326,0.5339138,4.0263968,-0.5974784,1.5156602,3.524451,-0.09086708,0.48792553,4.891471,0.23154746,1.3168182,5.9140034,-0.15467158,-1.314718,3.3901625,-0.099581495,0.51897436,1.1339046,-0.034819804,0.47327414,0.6258237,0.020937359,0.7616666
3.5313263,-0.10873481,0.60150945,3.6487794,-0.10662001,0.59200424,3.6186745,-0.24501282,0.60394335,3.291736,-0.20478517,0.5747716,2.7115517,0.10724091,0.9023388,2.3833578,-0.46154052,0.6292935,3.9420867,-0.22938955,0.627126,4.5461416,-0.22931196,0.66685945,3.907685,-0.57284987,1.4860826,3.5751462,-0.106121905,0.59566486,4.5847945,0.3330888,1.2797803,6.0225887,-0.13855577,-1.4739509,3.4875062,-0.111347675,0.6073541,1.1463405,0.011605832,0.76426136,0.8547012,0.10719806,0.93504864
3.5974796,-0.11075139,0.6473477,3.7182364,-0.095307134,0.63739467,3.6628969,-0.22808656,0.6549381,3.3579566,-0.18443853,0.61908954,2.8530447,0.15050736,0.920558,2.544184,-0.37554866,0.7077748,3.9600766,-0.22126628,0.6814325,4.429374,-0.20801964,0.73429316,3.8178825,-0.5328046,1.3921752,3.603437,-0.11086262,0.6493918,4.281854,0.37270162,1.1443089,6.161949,-0.13162617,-1.5730106,3.5915225,-0.110640116,0.64530367,1.210906,0.05236464,1.024514,1.111154,0.1897307,1.0797492
3.6539407,-0.100733675,0.65055954,3.7675786,-0.08212731,0.64069694,3.6911786,-0.20638229,0.6625679,3.4161708,-0.16152614,0.6199985,2.9864023,0.18093382,0.8877018,2.7038105,-0.29975173,0.7255398,3.9547691,-0.20748983,0.6930739,4.3086343,-0.1692482,0.74985874,3.7515354,-0.48441267,1.2496015,3.6211812,-0.103559345,0.6575898,3.9881697,0.35470808,0.93373793,6.298577,-0.13455416,-1.602854,3.6867006,-0.097907975,0.64352936,1.3288713,0.085913345,1.231313,1.3608012,0.25376478,1.2050414
3.6971326,-0.08260051,0.6231654,3.7953908,-0.07267337,0.6136267,3.7057009,-0.18800761,0.6377722,3.4617383,-0.14371191,0.58978254,3.1142619,0.18528223,0.8115263,2.8712003,-0.24051057,0.6974999,3.9359295,-0.19523627,0.67214125,4.181993,-0.1267417,0.72566473,3.7055352,-0.4375864,1.0701159,3.635223,-0.08714368,0.63061434,3.708841,0.29627937,0.6759797,6.393221,-0.14444582,-1.5608267,3.7590425,-0.078057304,0.61571646,1.5297556,0.10673754,1.3539648,1.5761024,0.28534016,1.3253235
3.723791,-0.062314607,0.5739228,3.8036976,-0.074440695,0.5643635,3.7131815,-0.18118177,0.58755547,3.499494,-0.13883759,0.5370176,3.2459311,0.15408795,0.69701475,3.0575187,-0.2056063,0.6314467,3.9132752,-0.19259688,0.6248116,4.0491056,-0.093189895,0.6691944,3.6790795,-0.40021542,0.85916346,3.6482377,-0.06699241,0.57568514,3.4485135,0.2195872,0.39677817,6.402045,-0.15473185,-1.4530426,3.7993443,-0.057636805,0.57216054,1.8367425,0.10726871,1.3655308,1.7453173,0.27562523,1.4464478
3.7331061,-0.04569131,0.50551194,3.795369,-0.09192548,0.49523255,3.7174544,-0.19073386,0.5140213,3.5339406,-0.15173139,0.46397182,3.3863773,0.084839225,0.5463461,3.2634552,-0.20212977,0.5284928,3.8902173,-0.20464131,0.5532026,3.908932,-0.0765652,0.58423036,3.669768,-0.37502912,0.61784303,3.6601658,-0.04898094,0.49547607,3.2133207,0.14226101,0.11805439,6.283108,-0.15588847,-1.2969584,3.8060467,-0.042401683,0.51554775,2.2349718,0.08125237,1.2554853,1.8786765,0.2248072,1.5584145
3.7270238,-0.03643161,0.41469353,3.7730176,-0.12156281,0.4032653,3.7172844,-0.21387444,0.41525128,3.5651824,-0.17999035,0.36706972,3.5335665,-0.015301858,0.35947475,3.4784527,-0.23063302,0.3852167,3.8632636,-0.22890148,0.45646706,3.7598565,-0.076025195,0.47251752,3.6719801,-0.35653657,0.34542334,3.6684084,-0.03746591,0.38963178,3.013454,0.07298722,-0.14102328,6.007629,-0.13667417,-1.1213645,3.7856393,-0.035397295,0.43975526,2.6877086,0.027565682,1.0229243,2.0057173,0.14434823,1.6429197
3.7091818,-0.034762077,0.29632014,3.7389615,-0.14958856,0.28431898,3.7078066,-0.23747313,0.28899926,3.589229,-0.21087846,0.2415876,3.681134,-0.1283133,0.13728471,3.688007,-0.2781112,0.19913583,3.8249846,-0.25249857,0.33368725,3.6012545,-0.07890115,0.3366207,3.6769714,-0.32909352,0.04303196,3.668454,-0.033618864,0.25892138,2.8610609,0.015038768,-0.36396176,5.5682693,-0.085877895,-0.9609054,3.7499094,-0.035905268,0.33371887,3.1737812,-0.045491125,0.6675499,2.1638489,0.05520578,1.6891474
