pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,torso_ang_vel_x,torso_ang_vel_y,torso_ang_vel_z,head_ang_vel_x,head_ang_vel_y,head_ang_vel_z,right_upper_arm_ang_vel_x,right_upper_arm_ang_vel_y,right_upper_arm_ang_vel_z,right_lower_arm_ang_vel_x,right_lower_arm_ang_vel_y,right_lower_arm_ang_vel_z,right_hand_ang_vel_x,right_hand_ang_vel_y,right_hand_ang_vel_z,left_upper_arm_ang_vel_x,left_upper_arm_ang_vel_y,left_upper_arm_ang_vel_z,left_lower_arm_ang_vel_x,left_lower_arm_ang_vel_y,left_lower_arm_ang_vel_z,left_hand_ang_vel_x,left_hand_ang_vel_y,left_hand_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
0.21056746,0.39690456,0.88963586,0.08993892,0.009987386,-1.7865566,-0.14134032,0.28728557,-0.463244,-0.62628525,2.1977115,-2.811708,-0.6274715,2.0161028,-2.7626257,-0.6274715,2.0161028,-2.7626257,0.09647352,-2.8662224,-1.6725751,-0.4054963,-4.646728,-2.0399857,-0.40549502,-4.6467266,-2.039983,0.05233767,-4.2710667,0.88959694,-0.09937213,-6.7000675,0.9290486,-0.26137018,-9.159744,1.1914499,0.113757685,5.3185663,-0.20959856,0.15857247,1.7469596,0.016826157,0.024590736,4.4180794,-0.30123836
0.07886559,0.43830353,0.74829984,0.11269563,-0.13139391,-1.8254666,-0.09947359,0.27620408,-0.5971923,-0.5687453,1.9529133,-2.7025077,-0.5481553,1.6402235,-2.6165872,-0.5481553,1.6402235,-2.6165872,0.11891728,-2.2310596,-1.5829141,-0.43109196,-4.078218,-1.984473,-0.43109006,-4.0782104,-1.9844677,0.22299694,-3.3404937,1.2048756,-0.004254367,-7.58789,1.2819643,-0.43981668,-9.727112,1.4343742,0.21095875,5.585913,-0.19221462,0.2769634,1.137993,0.06862971,0.06346505,5.633562,-0.51928186
-0.033580106,0.49593246,0.34692165,0.13053885,-0.23875031,-1.7261572,-0.06612943,0.23103708,-0.7012208,-0.5043666,1.730116,-2.6129885,-0.48197734,1.3533908,-2.5080938,-0.48197734,1.3533908,-2.5080938,0.19863452,-1.6956697,-1.5188228,-0.3660856,-3.4952035,-1.92869,-0.36608362,-3.4951935,-1.9286842,0.25357193,-2.4279134,1.4264692,0.03326141,-8.236639,1.5182124,-0.5012884,-9.945854,1.6073462,0.26180667,5.7747746,-0.29809263,0.34169263,0.5449122,-0.01972007,0.23451193,6.799134,-0.50152653
-0.11417858,0.51522434,-0.14210096,0.14753143,-0.32982105,-1.5593469,-0.03131596,0.20908648,-0.7381616,-0.44218668,1.5133512,-2.5001845,-0.42769536,1.1137191,-2.3870947,-0.42769536,1.1137191,-2.3870947,0.3185039,-1.2504166,-1.4669701,-0.2267557,-2.8990805,-1.8598489,-0.22675426,-2.8990724,-1.8598444,0.15017174,-1.5221795,1.5309038,0.017203076,-8.669352,1.6292938,-0.4095628,-9.939377,1.7678409,0.24876949,5.8922915,-0.48642796,0.3313518,0.033512786,-0.2044867,0.53675485,7.6486998,-0.18975131
-0.14574544,0.48433766,-0.5705621,0.16439629,-0.4003991,-1.3789755,0.015466803,0.23582724,-0.6924532,-0.38382488,1.2714663,-2.3218453,-0.3797118,0.87579525,-2.2079804,-0.3797118,0.87579525,-2.2079804,0.4540899,-0.85319173,-1.4149717,-0.042297635,-2.27827,-1.7701758,-0.042296845,-2.2782655,-1.7701732,-0.05295692,-0.62925464,1.5360571,-0.032202438,-8.913078,1.6513836,-0.20831884,-9.865372,1.9617542,0.17435853,5.8369226,-0.6908595,0.24812691,-0.22792894,-0.42321384,0.87738127,7.883194,0.30569512
-0.108588874,0.42095488,-0.8385922,0.17896086,-0.4257904,-1.2094393,0.07551212,0.28061914,-0.58022404,-0.32593262,0.9734173,-2.053299,-0.32958546,0.61354786,-1.9483488,-0.32958546,0.61354786,-1.9483488,0.58432025,-0.46018,-1.3480014,0.16222905,-1.6162044,-1.648534,0.1622293,-1.6162025,-1.648533,-0.31038332,0.22903089,1.4941543,-0.088850036,-8.966779,1.6501474,0.0008340223,-9.765622,2.1523507,0.05622248,5.4562464,-0.8403045,0.11521302,-0.046904054,-0.61386293,1.0817677,7.3503475,0.71708184
0.008416862,0.34557262,-0.9024527,0.19014874,-0.38834408,-1.0530254,0.1426948,0.29240614,-0.43667144,-0.27001318,0.60253054,-1.69793,-0.27481,0.32804623,-1.6174967,-0.27481,0.32804623,-1.6174967,0.6937925,-0.046433628,-1.2482234,0.3716996,-0.9000709,-1.4775457,0.37169933,-0.900071,-1.4775453,-0.5749228,1.0231502,1.4546447,-0.12855214,-8.78979,1.6779636,0.12906078,-9.542159,2.2123864,-0.08534708,4.6893067,-0.888272,-0.03549002,0.62408835,-0.7356735,0.98543835,6.2591715,0.7784683
0.18917985,0.26853853,-0.7861695,0.202022,-0.29663786,-0.9006446,0.2072659,0.25168642,-0.29947698,-0.22776327,0.16116789,-1.2847745,-0.22330797,0.043277718,-1.2515168,-0.22330797,0.043277718,-1.2515168,0.7725528,0.38662872,-1.0994792,0.5809406,-0.129149,-1.2386831,0.5809394,-0.1291516,-1.238683,-0.79035705,1.7100227,1.4123917,-0.12510955,-8.318425,1.7190281,0.17031038,-9.053634,1.9791664,-0.23388848,3.6109517,-0.8267504,-0.17047814,1.6506184,-0.7821786,0.541148,5.186023,0.39918315
0.37876293,0.1910517,-0.5729328,0.22236462,-0.17757086,-0.7399271,0.2545052,0.18388262,-0.20310496,-0.21161857,-0.33641955,-0.84729064,-0.18401779,-0.20780307,-0.89002186,-0.18401779,-0.20780307,-0.89002186,0.8177279,0.81579155,-0.89159715,0.7933261,0.68193066,-0.9189072,0.79332286,0.6819236,-0.9189078,-0.8832473,2.2347422,1.2838827,-0.045615867,-7.495982,1.6666385,0.20844609,-8.202094,1.3384342,-0.3696149,2.316089,-0.6687873,-0.2521344,2.873297,-0.7710233,-0.14412743,4.745266,-0.293461
0.49149537,0.11113568,-0.37282032,0.25448337,-0.070605986,-0.56297046,0.26791728,0.13612002,-0.1712992,-0.22272418,-0.8701145,-0.40282542,-0.15744133,-0.4036868,-0.5509201,-0.15744133,-0.4036868,-0.5509201,0.83644086,1.2053027,-0.6260576,1.0180973,1.5010881,-0.51975083,1.0180908,1.5010737,-0.5197528,-0.7795526,2.5520737,0.95167077,0.14022017,-6.2992644,1.375704,0.35125563,-6.959812,0.32063422,-0.45563963,0.8490026,-0.4253635,-0.23866652,4.2196054,-0.7160621,-0.85286355,5.1861987,-1.036807
0.44214597,0.025804527,-0.28073895,0.28924134,-0.035035398,-0.37306783,0.2433002,0.1490855,-0.198963,-0.2505635,-1.4105567,0.048322815,-0.13912791,-0.55730534,-0.22107592,-0.13912791,-0.55730534,-0.22107592,0.84357655,1.5214423,-0.32083318,1.2608265,2.2801652,-0.06614454,1.2608157,2.2801418,-0.066148676,-0.4500064,2.6608253,0.36556304,0.434869,-4.756442,0.77804005,0.6372991,-5.3671703,-0.8252744,-0.4369582,-0.6890914,-0.10711649,-0.09908452,5.5896344,-0.606312,-1.341525,6.255526,-1.5557011
