abdomen_x_vel,abdomen_y_vel,abdomen_z_vel,neck_x_vel,neck_y_vel,neck_z_vel,right_shoulder_x_vel,right_shoulder_y_vel,right_shoulder_z_vel,right_elbow_vel,left_shoulder_x_vel,left_shoulder_y_vel,left_shoulder_z_vel,left_elbow_vel,right_hip_x_vel,right_hip_y_vel,right_hip_z_vel,right_knee_vel,right_ankle_x_vel,right_ankle_y_vel,right_ankle_z_vel,left_hip_x_vel,left_hip_y_vel,left_hip_z_vel,left_knee_vel,left_ankle_x_vel,left_ankle_y_vel,left_ankle_z_vel
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00826884,0.39978424,1.2078625,-0.082613334,-2.0052135,0.497076,-1.8007783,-4.7077684,0.5214303,-2.0733616,-1.2338997,3.770435,10.9259615,1.2234946,-1.2962229,3.961019,1.8052949,-2.1593575,0.17360455,4.4033494,0.5643012,1.7304394,3.5572095,-0.46908155,-14.774383,0.6766628,5.254012,1.7536415
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.32155064,0.3263684,1.6050957,0.9453255,-0.9993652,-0.66766995,-0.91255003,-0.9464849,-1.3291827,-2.9127843,1.0089847,2.9527516,5.9111204,1.3258522,-0.5478462,4.7886095,2.7621055,-2.4275668,-0.20464657,6.059305,-2.5455112,0.8827842,-2.4644685,0.0060765804,5.5383,-0.7085796,-2.0592718,-2.9339583
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.2138568,0.1599752,0.12274362,0.32301402,-0.8175045,-1.2463888,-0.6941473,1.4844719,-1.15847,-2.5229511,0.98185205,2.0454297,13.746282,2.5270314,-1.2350887,3.0020423,2.8199522,2.0984669,0.061089557,4.8796315,-4.3799458,-1.6005727,-1.9954185,2.746977,9.867676,-0.5401951,3.3769057,-2.8586044
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.4655626,-1.0573353,-0.31197143,1.968258,0.098584175,-1.1626219,0.5545173,4.1812787,-2.1528761,-2.2730522,0.31608188,-1.6559823,-1.9470414,2.39158,-2.2008927,-0.7331316,1.9780337,6.4734387,0.8093666,5.9938827,-7.722251,-2.831786,-2.7865129,2.085976,9.079771,-0.27690268,6.407326,-2.138027
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.162022,0.5084995,-0.3872292,1.14478,-0.04464798,-1.317076,1.6303562,5.2076,-1.144132,-1.4910161,0.37893716,-2.3207386,-0.5753552,0.7717986,-2.1317868,-4.200204,0.8183472,12.962609,2.081316,10.847585,-8.296387,-2.090669,0.6563381,4.5778675,7.0859056,-0.48222232,1.6057065,-4.273943
