abdomen_x,abdomen_y,abdomen_z,neck_x,neck_y,neck_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow,right_hip_x,right_hip_y,right_hip_z,right_knee,right_ankle_x,right_ankle_y,right_ankle_z,left_hip_x,left_hip_y,left_hip_z,left_knee,left_ankle_x,left_ankle_y,left_ankle_z
0.13444574,-0.10114096,0.20933574,-0.03927855,-0.17956908,-0.002450442,-0.2629255,-0.37199008,0.15049678,-0.8155823,0.03380607,0.4133995,-0.11243871,-0.26303867,0.08659065,0.012048379,-0.066999316,0.3706318,0.047368135,-0.20329127,0.44381157,0.19943155,-0.64996475,-0.04075895,0.28964716,0.03036512,-0.29993743,0.20923176
0.13444574,-0.10114096,0.20933574,-0.03927855,-0.17956908,-0.002450442,-0.2629255,-0.37199008,0.15049678,-0.8155823,0.03380607,0.4133995,-0.11243871,-0.26303867,0.08659065,0.012048379,-0.066999316,0.3706318,0.047368135,-0.20329127,0.44381157,0.19943155,-0.64996475,-0.04075895,0.28964716,0.03036512,-0.29993743,0.20923176
0.13290094,-0.095879406,0.2298683,-0.04145345,-0.21282256,0.0063476707,-0.28884363,-0.45128593,0.16419017,-0.8501409,0.05464648,0.47223517,0.07254268,-0.24263193,0.067342915,0.077393316,-0.0339126,0.33463877,0.032910634,-0.13074915,0.45445192,0.23019582,-0.59094286,-0.032883022,0.0434071,0.027903669,-0.2120478,0.24060293
0.13290094,-0.095879406,0.2298683,-0.04145345,-0.21282256,0.0063476707,-0.28884363,-0.45128593,0.16419017,-0.8501409,0.05464648,0.47223517,0.07254268,-0.24263193,0.067342915,0.077393316,-0.0339126,0.33463877,0.032910634,-0.13074915,0.45445192,0.23019582,-0.59094286,-0.032883022,0.0434071,0.027903669,-0.2120478,0.24060293
0.1257135,-0.092901945,0.25663427,-0.024527261,-0.22963558,-0.0027152265,-0.29753286,-0.47137046,0.14154339,-0.89868677,0.092800625,0.5192821,0.16689079,-0.22053158,0.06132781,0.15572782,0.015148209,0.29416966,0.009331732,-0.031518243,0.41267985,0.24423678,-0.63225675,-0.03323736,0.1357129,0.025490578,-0.2466471,0.1902427
0.1257135,-0.092901945,0.25663427,-0.024527261,-0.22963558,-0.0027152265,-0.29753286,-0.47137046,0.14154339,-0.89868677,0.092800625,0.5192821,0.16689079,-0.22053158,0.06132781,0.15572782,0.015148209,0.29416966,0.009331732,-0.031518243,0.41267985,0.24423678,-0.63225675,-0.03323736,0.1357129,0.025490578,-0.2466471,0.1902427
0.105172984,-0.09295955,0.2578348,-0.016800757,-0.24351746,-0.02262461,-0.305672,-0.45055103,0.116246864,-0.94073933,0.16575976,0.54349345,0.38855907,-0.17840955,0.04407234,0.2041033,0.06520664,0.32913983,-0.0052903104,0.049092706,0.3397805,0.2037048,-0.66989934,-0.0017080703,0.3001754,0.017037572,-0.19058831,0.1422296
0.105172984,-0.09295955,0.2578348,-0.016800757,-0.24351746,-0.02262461,-0.305672,-0.45055103,0.116246864,-0.94073933,0.16575976,0.54349345,0.38855907,-0.17840955,0.04407234,0.2041033,0.06520664,0.32913983,-0.0052903104,0.049092706,0.3397805,0.2037048,-0.66989934,-0.0017080703,0.3001754,0.017037572,-0.19058831,0.1422296
0.050281446,-0.117544636,0.24886145,0.018216845,-0.24237694,-0.037919145,-0.29153958,-0.38614067,0.072434,-0.9786272,0.16696118,0.51945364,0.3528272,-0.13854605,0.011289021,0.18993612,0.101485424,0.43703097,-0.012013648,0.1493626,0.21030638,0.14693345,-0.71890914,0.011108865,0.45150608,0.008210279,-0.0839495,0.10685656
0.050281446,-0.117544636,0.24886145,0.018216845,-0.24237694,-0.037919145,-0.29153958,-0.38614067,0.072434,-0.9786272,0.16696118,0.51945364,0.3528272,-0.13854605,0.011289021,0.18993612,0.101485424,0.43703097,-0.012013648,0.1493626,0.21030638,0.14693345,-0.71890914,0.011108865,0.45150608,0.008210279,-0.0839495,0.10685656
