pelvis_w,pelvis_x,pelvis_y,pelvis_z,right_thigh_w,right_thigh_x,right_thigh_y,right_thigh_z,right_shin_w,right_shin_x,right_shin_y,right_shin_z,right_foot_w,right_foot_x,right_foot_y,right_foot_z,left_thigh_w,left_thigh_x,left_thigh_y,left_thigh_z,left_shin_w,left_shin_x,left_shin_y,left_shin_z,left_foot_w,left_foot_x,left_foot_y,left_foot_z
0.99684703,-0.06672236,0.03814861,0.01971978,0.97849345,0.06317768,0.1892325,0.052443814,0.8206018,0.036859687,0.5655714,0.07336986,0.59118885,0.005243582,0.80598414,0.029289905,0.96431494,0.003154265,-0.2645034,-0.011165204,0.9985069,0.005456531,-0.053379685,-0.010239015,0.99987733,0.000680437,-0.001386519,-0.015586926
0.99684703,-0.06672236,0.03814861,0.01971978,0.97849345,0.06317768,0.1892325,0.052443814,0.8206018,0.036859687,0.5655714,0.07336986,0.59118885,0.005243582,0.80598414,0.029289905,0.96431494,0.003154265,-0.2645034,-0.011165204,0.9985069,0.005456531,-0.053379685,-0.010239015,0.99987733,0.000680437,-0.001386519,-0.015586926
0.9986742,-0.038262248,0.025909424,0.022686914,0.9929668,0.043328594,0.108753085,0.017675623,0.7513468,0.025374353,0.6582463,0.039318405,0.4907724,-0.013818873,0.8703892,-0.037070807,0.97181463,-0.011155174,-0.23447718,0.021732643,0.9996867,-0.015840042,-0.005457535,0.018596742,0.99841434,-0.020395217,0.035483137,-0.03865031
0.9986742,-0.038262248,0.025909424,0.022686914,0.9929668,0.043328594,0.108753085,0.017675623,0.7513468,0.025374353,0.6582463,0.039318405,0.4907724,-0.013818873,0.8703892,-0.037070807,0.97181463,-0.011155174,-0.23447718,0.021732643,0.9996867,-0.015840042,-0.005457535,0.018596742,0.99841434,-0.020395217,0.035483137,-0.03865031
0.99932843,-0.01682237,0.010130913,0.030937226,0.9996553,0.005208119,0.015381221,-0.020628069,0.6931263,0.018312171,0.7205021,-0.010830794,0.43490377,-0.027671866,0.89353734,-0.10809249,0.9729169,-0.01971661,-0.22781017,0.03386205,0.9941536,-0.029647816,0.100614235,0.025620103,0.9970385,-0.044903286,0.049482558,-0.038072653
0.99932843,-0.01682237,0.010130913,0.030937226,0.9996553,0.005208119,0.015381221,-0.020628069,0.6931263,0.018312171,0.7205021,-0.010830794,0.43490377,-0.027671866,0.89353734,-0.10809249,0.9729169,-0.01971661,-0.22781017,0.03386205,0.9941536,-0.029647816,0.100614235,0.025620103,0.9970385,-0.044903286,0.049482558,-0.038072653
0.99901307,0.018560186,0.009737805,0.03916295,0.99371004,-0.038175613,-0.09480299,-0.045777127,0.67189765,0.013729747,0.7382416,-0.058003586,0.42805263,-0.007331185,0.8945933,-0.12814131,0.9794966,-0.029224362,-0.19823116,0.020899676,0.9815011,-0.034967367,0.18805535,0.008254889,0.9965415,-0.046968047,0.0677897,-0.010186793
0.99901307,0.018560186,0.009737805,0.03916295,0.99371004,-0.038175613,-0.09480299,-0.045777127,0.67189765,0.013729747,0.7382416,-0.058003586,0.42805263,-0.007331185,0.8945933,-0.12814131,0.9794966,-0.029224362,-0.19823116,0.020899676,0.9815011,-0.034967367,0.18805535,0.008254889,0.9965415,-0.046968047,0.0677897,-0.010186793
0.99908733,0.024132878,0.03502369,-0.003940672,0.97016716,-0.042304765,-0.23350783,-0.04959958,0.71308917,0.01955989,0.69803584,-0.062186994,0.5381739,0.00673035,0.83502966,-0.11423258,0.9900423,-0.03516733,-0.1362911,0.002070221,0.96801955,-0.033336744,0.2483893,-0.011388074,0.99523664,-0.039490215,0.089120924,0.001434996
0.99908733,0.024132878,0.03502369,-0.003940672,0.97016716,-0.042304765,-0.23350783,-0.04959958,0.71308917,0.01955989,0.69803584,-0.062186994,0.5381739,0.00673035,0.83502966,-0.11423258,0.9900423,-0.03516733,-0.1362911,0.002070221,0.96801955,-0.033336744,0.2483893,-0.011388074,0.99523664,-0.039490215,0.089120924,0.001434996
