right_hip_x,right_hip_y,right_hip_z,right_knee,right_ankle_x,right_ankle_y,right_ankle_z,left_hip_x,left_hip_y,left_hip_z,left_knee,left_ankle_x,left_ankle_y,left_ankle_z
0.26178977,0.29515025,0.09670139,0.8248357,0.051132377,0.6681275,-0.09394753,0.12749118,-0.60958797,-0.09694479,0.42859736,-0.011193697,0.10386907,-0.010714237
0.26178977,0.29515025,0.09670139,0.8248357,0.051132377,0.6681275,-0.09394753,0.12749118,-0.60958797,-0.09694479,0.42859736,-0.011193697,0.10386907,-0.010714237
0.166925,0.16281332,0.000819042,1.220715,0.0730467,0.67461365,-0.15988036,0.04079355,-0.5259329,-0.019433426,0.46258712,-0.008256792,0.08389448,-0.11315814
0.166925,0.16281332,0.000819042,1.220715,0.0730467,0.67461365,-0.15988036,0.04079355,-0.5259329,-0.019433426,0.46258712,-0.008256792,0.08389448,-0.11315814
0.045435995,0.010864439,-0.102512546,1.5787523,0.08363161,0.61860806,-0.21694972,-0.021662321,-0.4795376,-0.000589833,0.6617409,-0.019987702,-0.09780012,-0.13304338
0.045435995,0.010864439,-0.102512546,1.5787523,0.08363161,0.61860806,-0.21694972,-0.021662321,-0.4795376,-0.000589833,0.6617409,-0.019987702,-0.09780012,-0.13304338
-0.12012529,-0.20822386,-0.16711767,1.8550531,0.064780235,0.5743392,-0.16032037,-0.11154511,-0.41528845,-0.028391782,0.77797824,-0.017599499,-0.24086025,-0.049498968
-0.12012529,-0.20822386,-0.16711767,1.8550531,0.064780235,0.5743392,-0.16032037,-0.11154511,-0.41528845,-0.028391782,0.77797824,-0.017599499,-0.24086025,-0.049498968
-0.12773935,-0.5445033,-0.084274136,2.0218532,0.044554904,0.4397756,-0.1203005,-0.11777462,-0.3437523,0.01614318,0.7759568,-0.012898008,-0.32428893,0.011821853
-0.12773935,-0.5445033,-0.084274136,2.0218532,0.044554904,0.4397756,-0.1203005,-0.11777462,-0.3437523,0.01614318,0.7759568,-0.012898008,-0.32428893,0.011821853
-0.16612598,-0.6868686,-0.15501396,1.9834509,0.040254634,0.37959865,-0.094990805,-0.13824283,-0.14621665,-0.067117326,0.6679071,-0.010955893,-0.30912656,0.012161725
