right_hip_x_vel,right_hip_y_vel,right_hip_z_vel,right_knee_vel,right_ankle_x_vel,right_ankle_y_vel,right_ankle_z_vel,left_hip_x_vel,left_hip_y_vel,left_hip_z_vel,left_knee_vel,left_ankle_x_vel,left_ankle_y_vel,left_ankle_z_vel
-5.601192,-15.813766,3.0508873,11.55337,-1.4053602,-0.95473695,2.3908672,-4.2793055,7.8945847,1.6343907,0.91151357,0.9021052,-6.2377734,4.1775274
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.5836098,-14.060528,-1.437275,1.4388659,0.28222382,-3.4122021,-0.41925862,0.42931664,7.9159575,-2.0804734,-2.4307475,0.18581453,0.3350657,0.29438868
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.4033077,-9.44704,1.0060941,-7.5261316,0.41083544,-3.8228629,-0.7925778,-0.5114456,10.468492,-0.12982002,-7.2141743,-0.08079239,7.531342,-0.9770358
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2587326,-3.947959,0.60550696,-13.869937,1.2145468,-5.2954698,-2.9326487,1.5611764,10.118737,-0.35458344,-8.890836,-0.2917187,16.348888,-2.8904567
0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7318814,0.32011196,2.0737987,-18.746893,-0.4584697,-4.012477,0.60381293,1.7764554,14.206886,-1.1049023,-17.995916,-2.426788,25.213324,7.0156918
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1223804,1.3890332,4.144607,-21.167183,-1.4963528,-3.1353064,7.1915326,-1.3028771,7.3524613,-0.7083885,-7.1462336,-0.626246,9.599595,0.4159416
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4643621,4.4372215,5.5228457,-22.61386,-0.57222706,-0.54132164,2.8170846,-1.9901885,1.196845,-1.4319124,5.780705,-0.3319627,-3.629862,0.8316598
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9298585,4.2755494,0.8911374,-13.009639,0.4368491,-0.734569,-2.5173733,-3.003966,-7.467624,-1.2528584,23.2327,-0.95759034,-3.9577248,1.619347
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.7176784,6.2351513,-4.5378394,-5.4477806,1.6097221,-0.94773257,-8.168809,-0.024325581,-7.2275486,4.957693,23.927835,0.990526,1.4948918,-1.8448782
0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1264033,6.8205066,-5.5957336,1.2970532,-2.9404883,2.8577979,13.73373,5.6845145,-6.6443377,7.933232,23.759748,-1.2869356,1.779287,2.1597009
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.9446343,-0.40771663,-0.88428086,17.822939,-0.18338533,-17.58683,2.5269322,5.362684,-10.029538,5.7094016,21.803957,0.03952329,0.5615242,-0.29994944
0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.422685,1.3438852,-2.2583628,9.190737,-0.9042176,-8.706804,-6.410834,14.587726,-15.372449,3.3587523,18.549852,5.6541996,4.513321,-6.96573
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.3488384,6.145534,-2.9248977,1.5613228,0.058754772,-4.219362,-0.49349782,-0.045980033,-15.714981,-0.6526802,9.390301,1.1332157,-1.2934271,-1.3184526
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.839642,6.0588846,0.5813007,-1.6174911,-0.17607798,1.4644121,-0.5036257,-2.619503,-15.072076,3.3024268,1.3049704,-2.6833818,-3.6827245,3.4048178
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
