pelvis_w,pelvis_x,pelvis_y,pelvis_z,right_thigh_w,right_thigh_x,right_thigh_y,right_thigh_z,left_thigh_w,left_thigh_x,left_thigh_y,left_thigh_z,right_shin_w,right_shin_x,right_shin_y,right_shin_z,left_shin_w,left_shin_x,left_shin_y,left_shin_z,right_foot_w,right_foot_x,right_foot_y,right_foot_z,left_foot_w,left_foot_x,left_foot_y,left_foot_z
0.99560493,-0.071525484,0.060430735,0.001777291,0.9614775,0.0624493,0.25850335,0.06954804,0.94846296,0.013514714,-0.31109706,-0.058769938,0.8736451,0.044329386,0.47750095,0.08229065,0.9978202,0.029760715,-0.026798744,-0.05244859,0.6991378,0.011036061,0.714244,0.030658443,0.9903028,0.031528186,0.10176093,-0.089168124
0.9954879,-0.0802585,0.05007084,-0.007422905,0.972476,0.056331392,0.22083096,0.048483722,0.95672745,0.012472681,-0.28756207,-0.042721417,0.86036444,0.039057396,0.5042312,0.063233055,0.99727714,0.022003222,-0.0588011,-0.03868522,0.63339126,-8.325093e-05,0.77382755,0.002531155,0.99449074,0.011197287,0.07800765,-0.06911948
0.9956031,-0.08440869,0.035029024,-0.02055869,0.9825094,0.055401854,0.17351675,0.038701285,0.9670694,0.009914082,-0.25214422,-0.033193547,0.8417741,0.036422778,0.5355829,0.05692572,0.99413,0.01483565,-0.10249545,-0.03130503,0.5759779,0.0026982836,0.8174576,-0.002259584,0.9978807,-0.0055161584,0.04208636,-0.0493177
0.99558616,-0.08591785,0.021636287,-0.030952113,0.9900902,0.051246557,0.12880762,0.02244551,0.97606474,0.0070641367,-0.21592641,-0.024966065,0.8223517,0.03536778,0.56622225,0.04334898,0.98859835,0.008763536,-0.1483238,-0.024421453,0.535881,0.009052101,0.84416205,-0.011834604,0.99934536,-0.021691654,0.0047578006,-0.028557684
0.99579567,-0.086198054,0.0118071325,-0.028660962,0.9951303,0.0473067,0.086219795,0.006625825,0.98243403,0.000318829,-0.18653668,-0.005221585,0.80249184,0.03682526,0.5947477,0.030425817,0.98221195,0.0003126318,-0.18770276,-0.005221967,0.48617274,0.018277382,0.87321645,-0.028195748,0.99882174,-0.032527324,-0.035678566,-0.004912763
0.99751574,-0.06462046,0.005463476,-0.027505493,0.9986295,0.040588003,0.032097355,-0.007827361,0.9831353,-0.007977782,-0.18253337,-0.0079204645,0.7775136,0.037105102,0.627506,0.018217321,0.9833077,-0.007970281,-0.18160266,-0.007928021,0.41431537,0.015246235,0.90824634,-0.05655855,0.998525,-0.020455034,-0.03953867,-0.031078372
0.9988376,-0.041515823,0.0043242928,-0.02410655,0.9982937,0.04671002,-0.034393087,-0.0066962773,0.98316723,-0.010067209,-0.17726855,-0.04308903,0.75187814,0.03865924,0.65761125,0.027058024,0.9833381,-0.010025535,-0.17631772,-0.043098748,0.3596467,-0.0018686707,0.931957,-0.04589971,0.995672,-0.0061481306,-0.0018710785,-0.09271379
0.9996568,-0.010571661,0.006684865,-0.023016168,0.9927791,0.039180808,-0.10837643,-0.03330226,0.98249775,-0.013551368,-0.1700227,-0.07487748,0.7289109,0.05078989,0.6826746,0.00803581,0.98253673,-0.013534205,-0.1697975,-0.07488059,0.32653522,-0.004251548,0.9423553,-0.0729601,0.9864125,0.024818245,0.047640167,-0.15525682
0.9995445,0.01703132,0.011416151,-0.022144733,0.9802837,0.033521526,-0.18405737,-0.06358433,0.9782764,-0.012697332,-0.16482724,-0.1250842,0.7119872,0.071325995,0.69850373,-0.008903797,0.97827804,-0.012696043,-0.16481717,-0.12508434,0.30036753,0.008061318,0.95048785,-0.079291254,0.9612931,0.057745673,0.11671998,-0.24281152
0.9984052,0.04617637,0.0017311918,-0.032428645,0.96016544,0.013623251,-0.2547009,-0.11412328,0.9739077,-0.012969554,-0.15717623,-0.16319014,0.69988984,0.105694816,0.70494276,-0.045147996,0.97401375,-0.012859233,-0.15651782,-0.16319887,0.28050044,0.034797393,0.9522344,-0.11557825,0.92735595,0.11017465,0.17681639,-0.31081897
0.99611485,0.08745597,0.0031071205,-0.009844319,0.9369836,0.021139411,-0.3170222,-0.14529875,0.97271216,-5.4908443e-05,-0.14369105,-0.18216415,0.7146048,0.13858958,0.68394536,-0.048492856,0.9771705,0.006362631,-0.109333985,-0.18205303,0.29829985,0.058916755,0.9460515,-0.111949004,0.91322196,0.0644081,0.029184256,-0.4012798
0.99378055,0.10949445,-0.013632893,-0.015006176,0.9201604,0.03571554,-0.35846472,-0.15340187,0.9808684,0.0073009063,-0.09948898,-0.16717002,0.7482994,0.1522256,0.6443912,-0.040436696,0.98103577,0.0075845756,-0.09782436,-0.1671574,0.34338826,0.05232775,0.92971855,-0.1223499,0.92640656,0.026890716,0.028587082,-0.37447357
0.99444544,0.104843356,-0.000115829214,0.009274065,0.9117425,0.03983252,-0.38531005,-0.13665654,0.98850334,0.0093845455,-0.07826485,-0.12902553,0.7841416,0.13856404,0.6040367,-0.03258338,0.98825973,0.008990508,-0.081282996,-0.1290536,0.3956297,0.060937393,0.9077893,-0.12522945,0.94730574,0.008609679,0.030250616,-0.3187828
0.99448633,0.10209417,-0.003526753,0.023688206,0.9046842,0.039951716,-0.40713212,-0.11913737,0.99421835,0.008299551,-0.05668009,-0.09082016,0.81685627,0.12260402,0.5629882,-0.027534176,0.99421513,0.008294347,-0.05673706,-0.09082065,0.44470608,0.060396932,0.8854643,-0.120588735,0.97290814,0.0039346754,0.027929025,-0.22946484
0.9943646,0.09882306,-0.003642755,0.038206626,0.8948191,0.043858334,-0.43036342,-0.110283405,0.9974148,0.007929108,-0.033772584,-0.06293014,0.84718233,0.116427995,0.51787657,-0.02303326,0.99738926,0.007881992,-0.034519307,-0.06293606,0.4968553,0.07955445,0.8581433,-0.101959564,0.9872702,-0.0038619116,0.023507232,-0.15725806
0.99326134,0.093191154,0.0018912995,0.068873614,0.88777333,0.045112982,-0.44971773,-0.0870479,0.99949306,0.009664468,-0.029120762,-0.00848681,0.8633889,0.09752132,0.4949213,-0.010105903,0.999915,0.0098904045,-0.0020858236,-0.008222407,0.52653515,0.07413495,0.8430722,-0.080584556,0.997939,-0.0035894609,0.0061934586,-0.06376792
0.9918295,0.10226468,0.00023255084,0.076262735,0.8738146,0.04420037,-0.47607118,-0.08860374,0.999902,0.01378848,-0.002395878,-0.0002612646,0.87303185,0.09843224,0.47750494,-0.010742841,0.99961233,0.013790556,0.024183422,0.00010533257,0.54825884,0.08519723,0.8289989,-0.070103206,0.9980281,-0.0072878404,0.0024517872,-0.062296063
0.99225426,0.10546394,-0.0049989056,0.06545131,0.8636713,0.039725166,-0.4956965,-0.08233279,0.999362,0.012793488,0.03136809,0.011308419,0.88112926,0.090805866,0.46395501,-0.010539883,0.99832726,0.012519643,0.055237334,0.011610863,0.5703298,0.076545544,0.81462604,-0.072449654,0.99970776,0.00795761,-0.0018880712,-0.022747483
0.9927416,0.10221613,0.004240141,0.063229404,0.85283387,0.033767693,-0.5150663,-0.078998744,0.99728507,0.016074533,0.06825819,0.022468222,0.8905623,0.08483437,0.44667408,-0.013572192,0.99680847,0.015924579,0.074896805,0.022574743,0.5970346,0.07839883,0.79577553,-0.06437818,0.9999054,0.013523732,0.002007274,-0.0014653386
0.9929799,0.10099511,0.011307209,0.060523264,0.8431277,0.024750145,-0.53230584,-0.07192721,0.9942037,0.017954268,0.102531195,0.026907599,0.90019196,0.07403387,0.4287986,-0.017466882,0.9945745,0.018053235,0.098869234,0.026841288,0.63993734,0.076117285,0.7619046,-0.06471191,0.99975526,0.016404165,0.013258788,0.006673132
0.9933934,0.09921592,0.01736497,0.05499175,0.83752877,0.012623853,-0.5433385,-0.056296498,0.9907049,0.019538132,0.13202229,0.026307922,0.9106564,0.054147445,0.4091162,-0.019917829,0.99122214,0.01964262,0.12808049,0.026229987,0.6933502,0.059291244,0.7142321,-0.074983895,0.998661,0.022159047,0.046365973,0.005941714
0.99403566,0.093062535,0.026036493,0.050540827,0.83627266,-0.0012163861,-0.54692847,-0.038933933,0.986536,0.021459822,0.16033159,0.024081292,0.92139405,0.03157804,0.38667253,-0.022807049,0.9872618,0.02157017,0.1557998,0.023982488,0.7473675,0.03572475,0.65758675,-0.08800681,0.9944529,0.020262413,0.103007644,0.006503266
0.9950446,0.083983704,0.03289801,0.04184191,0.8403156,-0.011832574,-0.54150987,-0.022289867,0.98245573,0.021861022,0.18495512,0.0097151445,0.9321768,0.011067858,0.36112255,-0.022679286,0.9831175,0.021895977,0.18140416,0.009636086,0.7950207,0.010550199,0.5987851,-0.09636912,0.9824417,0.015220669,0.18582265,0.0068194503
0.99645954,0.069437265,0.038276657,0.027956601,0.8528345,-0.016039778,-0.5219208,-0.00382355,0.9790647,0.020936182,0.20215404,-0.011302521,0.9427626,-0.007142557,0.33305666,-0.01486186,0.9782626,0.020980436,0.20600015,-0.011220162,0.83185625,-0.008961063,0.5489249,-0.08134019,0.9556624,0.007465821,0.2942412,0.008689207
0.99715227,0.061365157,0.042364314,0.011266928,0.8689448,-0.018774405,-0.4944308,0.010973321,0.97775114,0.017612558,0.20759606,-0.024418775,0.9531542,-0.020807017,0.3017021,-0.0063210535,0.971094,0.018336104,0.23679075,-0.023880253,0.8590066,-0.016945848,0.5080537,-0.060842805,0.9074499,0.010977081,0.41924635,0.025426583
0.99768025,0.050931055,0.045154124,-0.0011276596,0.88871664,-0.01746232,-0.45765418,0.020748353,0.9797305,0.011204255,0.19637954,-0.03791536,0.96376854,-0.02690038,0.26535773,0.0034339072,0.95805264,0.014574776,0.28385213,-0.036751695,0.8817322,-0.019921895,0.46913198,-0.045459945,0.86301255,0.011636397,0.50432986,0.026928734
0.99784714,0.046141468,0.04477726,-0.012920163,0.9077437,-0.017307268,-0.41783366,0.033419516,0.9819222,0.00012365534,0.18078205,-0.056093436,0.97341895,-0.034153674,0.22591825,0.015809089,0.94053644,0.009065761,0.3350293,-0.055356145,0.9080505,-0.02974387,0.41649544,-0.033032183,0.8197901,0.016820395,0.57224816,0.013900313
0.99796873,0.041619547,0.044086058,-0.019557867,0.9257365,-0.017597716,-0.37475607,0.04753916,0.983735,-0.011839318,0.16444916,-0.071285315,0.9816186,-0.04046751,0.18399802,0.030529123,0.91990715,0.0048048347,0.38542044,-0.07210188,0.93681824,-0.040136714,0.34656793,-0.02551732,0.7723805,0.021121373,0.6348024,-0.0028533647
0.9980703,0.038290154,0.042377584,-0.024363572,0.9427659,-0.018611195,-0.32892722,0.051505845,0.9848722,-0.026759265,0.14844558,-0.08529114,0.98897105,-0.04006713,0.13761137,0.037334297,0.89608127,-0.00016628126,0.43479607,-0.08939021,0.9617132,-0.03994383,0.26866624,-0.036476918,0.72096574,0.023925517,0.69187945,-0.030638903
0.9982865,0.03224723,0.04039689,-0.027428288,0.9598368,-0.018688487,-0.27593476,0.04715961,0.98641175,-0.04217346,0.12967618,-0.091636,0.9952867,-0.03420796,0.08265001,0.03745799,0.8682977,-0.005248141,0.48567817,-0.10073837,0.98177654,-0.029341731,0.1774615,-0.061329607,0.6589993,0.022949474,0.7492555,-0.06171998
0.99850106,0.023564858,0.0381709,-0.0313582,0.9746979,-0.01781471,-0.22040431,0.032689642,0.9863716,-0.059140485,0.11774095,-0.098541416,0.99901676,-0.025252225,0.024073506,0.027355073,0.8379184,-0.010595508,0.5335585,-0.11443664,0.9934558,-0.0070828334,0.06601388,-0.09293812,0.5913131,0.015769687,0.800452,-0.096833184
