pelvis_lin_vel_x,pelvis_lin_vel_y,pelvis_lin_vel_z,right_thigh_lin_vel_x,right_thigh_lin_vel_y,right_thigh_lin_vel_z,left_thigh_lin_vel_x,left_thigh_lin_vel_y,left_thigh_lin_vel_z,right_shin_lin_vel_x,right_shin_lin_vel_y,right_shin_lin_vel_z,left_shin_lin_vel_x,left_shin_lin_vel_y,left_shin_lin_vel_z,right_foot_lin_vel_x,right_foot_lin_vel_y,right_foot_lin_vel_z,left_foot_lin_vel_x,left_foot_lin_vel_y,left_foot_lin_vel_z
3.16396,-0.11192672,0.48140427,2.860697,-0.24185775,0.33634916,2.634764,-0.13394156,0.5957908,3.2581594,-0.6788342,-0.35099632,1.5525746,-0.013814223,1.0192378,4.2031174,-1.3161892,-0.91634387,0.52031964,0.042600565,0.85972124
3.1908147,-0.16224079,0.752207,2.6225317,-0.2073507,0.24851,2.9383574,-0.23089856,0.7316313,2.8797216,-0.48273516,-0.8322484,2.1087635,-0.08670894,1.1015851,3.8434696,-0.98573995,-1.331205,0.8742007,-0.008796401,1.0021998
3.103873,-0.15399793,0.65601534,2.4464676,-0.14797689,0.018990856,3.1721413,-0.25783113,0.5871948,2.7030041,-0.37625596,-1.1569933,2.396635,-0.27247962,0.985804,3.7165558,-0.70435566,-1.6335989,0.837643,-0.19606648,1.2060974
3.0219274,-0.10978291,0.6169357,2.1706123,-0.14315267,-0.18010953,3.486386,-0.35577706,0.36002493,2.3656354,-0.17611869,-1.5521768,2.8008523,-0.48332283,0.88986063,3.5150762,-0.24204367,-2.0295436,1.0779293,-0.4717457,1.5935355
2.9970016,-0.123080865,0.3744489,2.1578443,-0.07873742,-0.42825648,3.4533834,-0.37557453,0.16890325,2.313354,-0.21320821,-1.7003713,2.8483946,-0.45452824,0.8318482,3.5868227,-0.45865512,-2.0508974,1.3352585,-0.3396495,1.7394712
3.0110984,-0.090233535,0.13009,2.0765755,-0.0930322,-0.64163834,3.4525468,-0.4097322,-0.048108097,2.2184505,-0.18679224,-1.8276213,2.9365485,-0.5088896,0.7468463,3.6699665,-0.33513775,-2.0379155,1.535136,-0.34095034,1.8451364
3.0279727,-0.027888868,-0.13407195,1.9951941,-0.14631836,-0.8540741,3.4512053,-0.43538862,-0.26551178,2.1477406,-0.15961039,-1.9262205,3.005713,-0.58507663,0.6617627,3.7095304,-0.13110511,-1.9972829,1.7492914,-0.37936857,1.9259374
3.0434258,0.045708124,-0.37382865,1.765114,-0.1542202,-1.0662345,3.548872,-0.47030947,-0.52896136,1.9067782,-0.08211702,-2.0518434,3.2840266,-0.72532344,0.57527286,3.702812,0.044930197,-1.9195995,2.0868902,-0.54730314,2.1259468
3.1701875,0.043783143,-0.71950805,1.8585413,-0.19325079,-1.2322869,3.4216292,-0.49950162,-0.8207331,1.9507922,-0.09031595,-1.9088889,3.0698104,-0.6646722,0.35797566,3.711542,0.014625778,-1.4598694,2.1401188,-0.40797696,1.9495713
3.3517315,-0.08560843,-1.1047065,2.4255319,-0.30744585,-1.288334,3.0163512,-0.38842037,-1.1462944,2.4464636,-0.2178734,-1.5845766,2.289004,-0.36598724,0.005477611,3.6162148,-0.1141746,-0.9953525,1.6129267,-0.18123388,1.5064683
2.9210742,0.13640626,-0.40175477,2.1116219,-0.23262958,-0.121948145,3.3248515,-0.49796227,-0.83829004,0.58202124,0.14175147,-0.28552502,3.3757744,-0.5834451,0.16046856,-0.5758197,-0.02525243,-0.27692658,2.8351712,-0.4893886,1.9218043
2.5579476,0.15989403,0.07163936,1.7862356,-0.19605377,0.095918335,3.4591298,-0.1925214,-0.26862457,0.41444054,-0.25194153,-0.09546131,3.9639354,-0.37418962,0.44180542,-0.09815645,-0.1426701,-0.073458955,3.722672,-0.577387,1.537486
2.4859974,0.08688343,0.023293104,1.9785492,-0.1305692,-0.014944326,3.2978523,-0.24437238,-0.1294511,0.53440416,-0.30639577,-0.04873096,3.9124234,-0.24829347,0.4277331,-0.3065925,-0.20918445,-0.008435387,3.8536673,0.0370612,1.1374428
2.451778,0.09278253,0.050789494,1.4317807,-0.04823327,0.070218325,3.5737758,-0.17709161,-0.12762499,0.20437056,-0.009866194,-0.03934764,4.526113,-0.38879877,0.416416,0.02892241,0.008805048,-0.01715833,4.462057,-0.54287064,1.1015311
2.424804,-0.007866841,-0.086431876,1.6595696,-0.07244951,-0.05349832,3.410547,-0.060457125,-0.15330459,0.39887553,-0.06179568,-0.0269329,4.3603873,-0.12977253,0.34325743,-0.048212662,-0.06302192,0.043752134,4.3658714,-0.29297876,0.799773
2.441469,-0.038926486,-0.21263209,1.4425449,-0.060612395,-0.08219911,3.507424,0.03047685,-0.21476556,0.21285912,0.0049524205,-0.022247152,4.6191535,-0.10740109,0.26181245,0.013265637,-0.013844181,0.026691569,4.618162,-0.54946065,0.6466809
2.4713132,-0.037816823,-0.44295704,1.2966882,-0.088570535,-0.09388955,3.546973,0.0778962,-0.35448667,0.03843639,0.0011798546,0.057274785,4.8174205,-0.078563355,0.17311476,0.019822957,-0.044868395,0.057954248,4.8346505,-0.7341072,0.48206425
2.2796035,-0.080530964,-0.569776,1.4443136,-0.09289633,-0.31326604,3.6093724,0.1297055,-0.2431599,0.22287685,-0.0206125,-0.05269987,4.9860206,-0.010499842,0.2235819,-0.2594309,0.03965745,0.083102465,5.0477695,-0.64734995,0.22439022
2.022741,-0.1306778,-0.5910533,1.5944381,-0.20106173,-0.41033587,3.780462,0.3174345,0.05405628,0.5205153,-0.2595161,-0.12703454,5.367342,0.41729262,0.3942759,-0.054827627,-0.23138806,-0.02187871,5.4554925,-0.11523873,-0.10402679
2.1691916,-0.19547391,-0.48646247,1.6148555,-0.13210082,-0.33692953,3.734511,0.3906307,0.45528528,0.5767588,-0.03455413,-0.015024264,5.2939434,0.5892994,0.6052095,0.029583067,0.034520566,0.11537756,5.4769344,0.17332757,-0.46702468
2.389027,-0.13863105,-0.3062952,1.7929744,-0.08705602,-0.116791666,3.578946,0.33342293,0.7412489,0.7264232,-0.008586216,0.2694058,4.9506907,0.6635349,0.67659783,0.08646095,0.027062207,0.31224594,5.3342156,0.5583453,-0.8194995
2.581848,-0.10332165,-0.10898327,2.0547636,-0.075526245,0.104471035,3.3901808,0.35362762,0.8868028,0.900749,-0.050496288,0.58875024,4.580066,0.70654297,0.5857469,0.13313042,-0.03861028,0.6090501,5.2300215,0.6973148,-1.0975078
2.7896352,-0.07908785,0.12819095,2.2918553,-0.052255373,0.338695,3.144392,0.31711134,0.89858365,1.1025004,-0.029697087,0.91346973,4.1530333,0.69170606,0.33297935,0.057220794,-0.091527745,0.9210446,5.0173287,0.84316576,-1.3175507
2.9515061,-0.06832638,0.31687233,2.4274879,0.021162031,0.52083087,2.9801095,0.23283225,0.8534953,1.5365263,0.0924253,1.0008378,3.885469,0.6721604,0.07615918,0.6329442,0.08837379,0.8557875,4.931521,1.1092228,-1.4447734
3.0080867,0.102964014,0.76136637,2.9170332,0.153402,0.6292684,2.6876907,0.04986892,0.7366786,2.2824593,0.033482153,1.0120888,3.2646525,0.31234974,-0.46831638,0.9876601,0.026329033,1.0626049,4.491183,0.9848387,-1.7063059
3.0291786,0.15400967,1.0274972,3.3116944,0.35915616,0.45823944,2.431749,0.013476739,0.6173942,2.9830317,0.045856457,0.76129216,2.6568475,0.021964995,-0.94275784,1.297237,-0.04506199,1.1745217,4.0283446,0.5882507,-1.8788121
2.7588525,0.08111269,0.82101405,3.6868985,0.33449805,0.4086746,2.0924983,0.02830767,0.23421684,3.485387,0.4773088,0.8814663,2.4482138,-0.18028498,-1.3788444,1.6352007,0.5641544,1.8855724,3.9384828,-0.38147518,-2.3058124
2.8753345,0.03042531,0.4198202,3.2146375,0.26768136,0.24905781,2.426382,0.13948782,0.001158312,2.838311,0.23153119,0.7805286,2.8828614,0.11633785,-1.255807,1.9748539,0.05973532,1.4968891,4.279463,0.031396613,-1.9387103
2.7639997,0.060179494,0.28579092,3.4148352,0.22375888,0.10277466,2.2126658,-0.043282762,-0.27990755,3.2201054,0.38823172,0.7446075,2.6643224,0.031597845,-1.5699583,2.1869164,0.39815003,1.7300905,4.141523,0.215489,-2.1656942
2.8067718,-0.0064033903,0.08788051,3.4534657,0.32366055,-0.16558072,2.0873466,0.04139095,-0.43977642,3.313189,0.46421152,0.5757304,2.5476851,-0.07725141,-1.6817786,2.2850142,0.37945232,1.731121,4.254764,-0.061009113,-2.0638094
2.8241363,-0.04866318,-0.10968683,3.5383477,0.35613668,-0.44073448,1.8701217,0.040434815,-0.63505316,3.5625935,0.56732666,0.47250548,2.3260436,-0.16472909,-1.8261688,2.6332338,0.55532324,1.831219,4.25973,-0.20072916,-2.0035405
2.8860054,-0.0909633,-0.38933885,3.626309,0.4234348,-0.74515855,1.6041923,0.03767867,-0.8425523,3.7959194,0.67800057,0.34738237,2.0926933,-0.27492943,-1.8399347,2.980195,0.6757174,1.903987,4.3164244,-0.3672881,-1.6943456
2.9540727,-0.05123736,-0.6485081,3.390216,0.3768686,-0.9314391,2.1436744,0.12828952,-0.77150595,3.4229941,0.52832407,0.15748896,1.5793239,-0.10326401,-1.1186222,2.8421893,0.5494121,1.6354271,2.326906,-0.35483995,-0.2728566
2.6656573,-0.085951686,-0.2813306,3.3453891,0.1763783,-0.57676405,2.2536528,0.22475888,-0.30875838,3.7206275,0.27788222,0.3231491,1.097268,0.41615516,-0.42156774,3.3601375,0.36162055,1.5451889,0.6460984,0.2747149,-0.096354984
2.3986356,-0.16717125,0.059147,3.684625,0.34445083,-0.20515427,1.5472751,0.02868805,0.04493022,4.7608175,0.52426976,0.59958947,0.3853627,-0.0841912,-0.11830439,4.573637,0.4557501,1.5983328,0.032977182,-0.06692015,0.0020827912
2.3945227,-0.076627314,-0.15011974,3.4785862,0.097965226,-0.28026047,1.8519404,0.17528339,-0.1036758,4.391916,0.19961618,0.43504784,0.73776406,0.123273745,-0.034202274,4.2225223,0.36990315,1.368041,0.06388183,-0.0065207407,0.11916287
